Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 11-60 Female,0.03550712,0.02634828,1.036145025,0.983993971,1.091060,0.2078826,0.1912344,1.021005841,0.983444885,1.060001,0.004328844,0.003605505,1.056973043,0.965561283,1.157039,0.004496427,0.003202486,1.029658069,0.988493812,1.072537
Age 11-60 Male,0.03466006,0.02923947,1.03526772,0.977605269,1.096331,0.3138893,0.2054588,1.031886758,0.991158325,1.074289,-0.003054776,0.003931923,0.96165345,0.871320661,1.061351,0.003882221,0.003601236,1.02555552,0.979566345,1.073704
Age 60+All,-0.0378473,0.03207594,0.962859958,0.904189658,1.025337,-0.1038949,0.234309,0.989664294,0.945242232,1.036174,-0.00273833,0.004391701,0.965556535,0.864823691,1.078023,-0.006878754,0.003947157,0.956272943,0.909374134,1.005590
Age 60+ Female,-0.09246518,0.04395184,0.911680955,0.836431387,0.993700,-0.3203046,0.3141028,0.968477082,0.910651858,1.029974,-0.001752404,0.005943109,0.977818928,0.842373741,1.135042,-0.012687399,0.005409349,0.920840818,0.859518268,0.986538
Age 60+ Male,0.02282544,0.0460149,1.023087934,0.934855073,1.119648,0.148031,0.34628,1.014913209,0.948315733,1.086188,-0.003793623,0.006394616,0.95260173,0.811406189,1.118367,-0.000397313,0.00566594,0.997420795,0.92796003,1.072081
All: LAG 4,0.01982524,0.01478893,1.020023065,0.990880772,1.050022,0.07890651,0.10523136,1.007921864,0.987346048,1.028926,0.000276629,0.002064157,1.003547124,0.952900557,1.056886,0.001746379,0.001817182,1.011416136,0.988269905,1.035104
Female,0.03751253,0.0193804,1.038225006,0.999527058,1.078421,0.09571009,0.13742281,1.009616958,0.982786021,1.037180,0.001699858,0.002726543,1.021996618,0.954425845,1.094351,0.003887755,0.002362101,1.025592411,0.995188852,1.056925
Male,0.000831079,0.020965405,1.000831425,0.960538597,1.042814,0.06154852,0.14978759,1.006173832,0.977063616,1.036151,-0.001124066,0.002901998,0.985714968,0.916499854,1.060157,-0.000646824,0.002598052,0.995804468,0.96338367,1.029316
Warm All,0.036585193,0.0138256,1.037262668,1.009532161,1.065755,0.1244062,0.1375726,1.012518326,0.985581349,1.040192,0.00088625,0.001998828,1.011408586,0.961940584,1.063420,0.003896507,0.001902876,1.025650756,1.001085244,1.050819
Warm Female,0.06630179,0.018351896,1.068549146,1.030796778,1.107684,0.30938806,0.18256581,1.031422385,0.995167621,1.068998,0.003839855,0.002651901,1.050378047,0.982769426,1.122638,0.006624941,0.002537124,1.044002743,1.010797028,1.078299
Warm Male,0.006881521,0.019061081,1.006905253,0.96998158,1.045234,-0.06530332,0.18924665,0.993490944,0.957315108,1.031034,-0.002110552,0.002749777,0.973346577,0.90846268,1.042865,0.001228239,0.002614202,1.008015507,0.974996517,1.042153
Cold All,-0.007637205,0.01686078,0.992391884,0.960132163,1.025736,0.01786422,0.08696674,1.001788019,0.984856771,1.019010,0.000371187,0.00221604,1.004762495,0.950426149,1.062205,-0.001116946,0.001835454,0.992766142,0.96982093,1.016254
Cold Female,-0.007169559,0.021876647,0.992856081,0.951183969,1.036354,-0.02605475,0.11335123,0.997397916,0.975483224,1.019805,-0.000908932,0.002928952,0.988433084,0.918405848,1.063800,0.000179552,0.002364478,1.001167771,0.971458864,1.031785
Cold Male,-0.008956882,0.024557224,0.991083111,0.944509965,1.039953,0.07172276,0.12578277,1.007198058,0.982670762,1.032338,0.001885749,0.003157503,1.024431257,0.946411469,1.108883,-0.002708561,0.002696253,0.982548427,0.949370724,1.016886
Age 0-10 All,0.01797315,0.02659477,1.018135639,0.966424018,1.072614,-0.07166773,0.18326507,0.992858847,0.957828317,1.029171,-0.004930366,0.003732805,0.93884143,0.854911524,1.031011,0.001657648,0.003290468,1.010832968,0.969334185,1.054108
Age 0-10 Female,0.07649509,0.03630255,1.07949689,1.005356386,1.159105,0.1404276,0.2493768,1.014141823,0.965764665,1.064942,-0.00372217,0.005221272,0.953473377,0.836411094,1.086919,0.00896075,0.004411939,1.059974525,1.002038848,1.121260
Age 0-10 Male,-0.02814417,0.03364968,0.972248188,0.910193975,1.038533,-0.2468796,0.2333448,0.975614295,0.931998997,1.021271,-0.005818549,0.004656088,0.928228427,0.825893571,1.043243,-0.004467534,0.004230004,0.971378608,0.92041629,1.025163
Age 11-60 All,0.05130712,0.019686038,1.052646132,1.012803761,1.094056,0.33613735,0.14133902,1.03418506,1.005928793,1.063235,-0.000888533,0.002738116,0.988691208,0.923054429,1.058995,0.006049543,0.002416273,1.040105374,1.00857527,1.072621
Age 11-60 Female,0.06539827,0.02591602,1.067584126,1.014710014,1.123213,0.32191126,0.18695358,1.032714865,0.995558119,1.071258,0.001580859,0.00363231,1.020441111,0.931562125,1.117800,0.007563197,0.003155377,1.050389219,1.00900155,1.093475
Age 11-60 Male,0.03511115,0.02883911,1.035734824,0.978814136,1.095966,0.36097728,0.20580458,1.036757162,0.995769006,1.079432,-0.003802835,0.003956021,0.952489412,0.862495849,1.051873,0.004271948,0.003577321,1.028156777,0.982350207,1.076099
Age 60+All,-0.04825965,0.03149298,0.952886338,0.895846775,1.013558,-0.2724515,0.2302046,0.973122651,0.93019108,1.018036,0.010796861,0.004391029,1.148204963,1.02843444,1.281924,-0.007495018,0.003840127,0.952450047,0.906974599,1.000206
Age 60+ Female,-0.07460237,0.0429215,0.928112458,0.85322797,1.009569,-0.4957055,0.3044502,0.951638018,0.896512727,1.010153,0.008545442,0.005968246,1.115588042,0.960453512,1.295780,-0.01075473,0.00526569,0.932481707,0.871978392,0.997183
