Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 0-10 Female,0.01762461,0.01047245,1.01778084,0.997102813,1.038888,0.21879434,0.0881373,1.022120544,1.00461514,1.039931,-0.000713298,0.00120559,0.990911339,0.961389105,1.021340,0.002591896,0.001295703,1.016990041,1.000340126,1.033917
Age 0-10 Male,0.009074216,0.009526355,1.009115512,0.990448469,1.028134,0.15395906,0.08092831,1.015515034,0.999534066,1.031752,-0.000725267,0.00109526,0.99075954,0.963906192,1.018361,0.000336055,0.001184971,1.002186745,0.987170831,1.017431
Age 11-60 All,0.008923812,0.005546152,1.008963748,0.998055248,1.019991,0.170779046,0.04869131,1.017224566,1.007562863,1.026979,-0.000112167,0.000632474,0.998565293,0.982845596,1.014536,0.000963656,0.000693645,1.006283422,0.997430035,1.015215
Age 11-60 Female,0.007461013,0.006863569,1.007488916,0.994026331,1.021134,0.189877357,0.060164793,1.019169149,1.007221386,1.031259,-0.000190278,0.000780951,0.997567405,0.978212789,1.017305,0.000846044,0.000858137,1.005514435,0.994581355,1.016568
Age 11-60 Male,0.010592049,0.007227708,1.010648343,0.996432121,1.025067,0.14877215,0.06364299,1.014988432,1.002406079,1.027729,-2.72279E-05,0.000826123,0.999651544,0.97914622,1.020586,0.001099406,0.000904224,1.007171734,0.995635876,1.018841
Age 60+All,-0.001927323,0.008498878,0.998074533,0.981586515,1.014840,0.08144669,0.07606338,1.008177927,0.993259069,1.023321,0.000954476,0.000955365,1.012292229,0.988317868,1.036848,-0.001190589,0.001074134,0.992291039,0.978804553,1.005963
Age 60+ Female,-0.01726096,0.01101198,0.982887157,0.96190033,1.004332,0.00677675,0.09853238,1.000677905,0.981537881,1.020191,0.000708489,0.001231635,1.009109904,0.978405963,1.040777,-0.002398812,0.001393644,0.984528652,0.967202589,1.002165
Age 60+ Male,0.01925327,0.01254269,1.019439809,0.994683779,1.044812,0.18493957,0.11237121,1.018666029,0.996475426,1.041351,0.001304625,0.00142114,1.016839411,0.981224144,1.053747,0.000477325,0.001583186,1.003107431,0.983077642,1.023545
All: LAG 4,0.007086238,0.004787816,1.007111405,0.997704757,1.016607,0.107787195,0.041620265,1.010837019,1.002624586,1.019117,0.000225559,0.000546326,1.002891327,0.989239244,1.016732,0.000922544,0.000596175,1.006014551,0.998402544,1.013685
Female,0.003200405,0.00564083,1.003205532,0.992175153,1.014359,0.11845911,0.04908931,1.011916352,1.002226882,1.021699,-0.000294958,0.000641424,0.996231656,0.980328551,1.012393,0.000774836,0.000702534,1.005049138,0.9960938,1.014085
Male,0.01125665,0.005891566,1.011320244,0.999709223,1.023066,0.0962774,0.05118045,1.009674236,0.999596453,1.019854,0.000785167,0.000674649,1.01010081,0.993148125,1.027343,0.001082345,0.000733536,1.007060048,0.99769266,1.016515
Warm All,0.006776613,0.005422745,1.006799626,0.996155442,1.017558,0.13098993,0.06205323,1.013185161,1.000936999,1.025583,-0.000706419,0.000614531,0.990998594,0.975837193,1.006396,0.000384667,0.000775246,1.002503464,0.99265084,1.012454
Warm Female,0.001441963,0.006800723,1.001443003,0.988182923,1.014881,0.17703155,0.07771415,1.017860785,1.002474237,1.033483,-0.001727313,0.000766312,0.97813302,0.959507793,0.997120,-0.000191717,0.000974505,0.998754616,0.986431539,1.011232
Warm Male,0.012421305,0.007181849,1.01249877,0.99834625,1.026852,0.08142235,0.08235689,1.008175473,0.992032197,1.024581,0.000395902,0.000818055,1.005080407,0.98466301,1.025921,0.000986803,0.001023941,1.006434835,0.993391146,1.019650
Cold All,0.007097183,0.008100471,1.007122428,0.991258689,1.023240,0.08914313,0.05788326,1.008954164,0.997572146,1.020466,0.001580878,0.000936096,1.020441359,0.996755736,1.044690,0.001135185,0.000892374,1.007405992,0.996017808,1.018924
Cold Female,0.004131998,0.009204629,1.004140546,0.986187209,1.022421,0.0871948,0.06612081,1.008757605,0.995768778,1.021916,0.001468852,0.001061671,1.018979163,0.992196709,1.046485,0.001279109,0.001014395,1.008348868,0.995401422,1.021465
Cold Male,0.010292709,0.009553622,1.010345861,0.991603063,1.029443,0.09106357,0.06789694,1.009147946,0.99580737,1.022667,0.001683052,0.001106931,1.021776793,0.993791732,1.050550,0.000978506,0.001052178,1.006380559,0.992980295,1.019962
Age 0-10 All,0.011902515,0.007874139,1.011973632,0.996475428,1.027713,0.14496504,0.06631584,1.014602088,1.001499723,1.027876,-0.000204046,0.000905275,0.997391619,0.974994618,1.020303,0.00149041,0.00097274,1.009734742,0.997298613,1.022326
Age 0-10 Female,0.008902578,0.010510107,1.008942324,0.988370915,1.029942,0.2171125,0.0882438,1.021948654,1.004425228,1.039778,-0.001475098,0.001209858,0.98129588,0.951958182,1.011538,0.002020422,0.001294517,1.013219356,0.996646233,1.030068
Age 0-10 Male,0.014384851,0.009558407,1.014488811,0.995659819,1.033674,0.08553939,0.08070895,1.008590628,0.992761311,1.024672,0.000824158,0.001097181,1.010605062,0.98316644,1.038809,0.001051636,0.001183726,1.00685905,0.991788862,1.022158
Age 11-60 All,0.006345279,0.005576179,1.006365453,0.995426459,1.017425,0.11057713,0.04890271,1.011119075,1.001473867,1.020857,0.000311392,0.000636054,1.003993772,0.988099868,1.020143,0.000865896,0.000695715,1.005644193,0.996770142,1.014597
Age 11-60 Female,0.002074313,0.006909969,1.002076466,0.988596295,1.015740,0.10821933,0.06055296,1.010880702,0.9989541,1.022950,0.000055369,0.000784983,1.000708974,0.981194148,1.020612,0.000533868,0.000862955,1.00347617,0.992504329,1.014569
Age 11-60 Male,0.011233424,0.007251091,1.011296756,0.997025718,1.025772,0.11328238,0.06368879,1.011392645,0.998845902,1.024097,0.000603732,0.000830994,1.007757706,0.986965487,1.028988,0.001249545,0.000903766,1.008155116,0.99661381,1.019830
Age 60+All,0.001229267,0.008532711,1.001230023,0.984624581,1.018116,0.02721999,0.07634461,1.002725707,0.987833078,1.017843,0.000624385,0.000962537,1.00802415,0.983973808,1.032662,0.000114371,0.001070204,1.000743688,0.987191745,1.014482
Age 60+ Female,-0.000891732,0.011036372,0.999108665,0.977728729,1.020956,0.006027354,0.099013784,1.000602917,0.981371725,1.020211,0.000128162,0.001238879,1.00164182,0.970988628,1.033263,-0.000168804,0.001384089,0.998903376,0.981443806,1.016674
Age 60+ Male,0.004204565,0.012623308,1.004213417,0.979672332,1.029369,0.05591232,0.11251573,1.005606892,0.983672905,1.028030,0.001330257,0.001434011,1.01717308,0.981229229,1.054434,0.000510894,0.001583487,1.003326331,0.983288401,1.023773
All: LAG 5,0.011086434,0.004773144,1.011148116,1.001732571,1.020652,0.08715282,0.04158254,1.008753371,1.000565264,1.017008,0.000329079,0.000548354,1.004221095,0.990500514,1.018132,0.001068408,0.000591995,1.006968822,0.999402814,1.014592
Female,0.015386037,0.005615845,1.015505011,1.004388583,1.026744,0.141706078,0.048972507,1.014271487,1.004582464,1.024054,-0.000349435,0.000645184,0.99553722,0.979552794,1.011782,0.001573821,0.000696286,1.01028234,1.001360077,1.019284
Male,0.006408409,0.00589141,1.006428987,0.994874426,1.018118,0.02856023,0.0512589,1.002860105,0.99283507,1.012986,0.00106014,0.000676469,1.013662279,0.996604316,1.031012,0.000520936,0.000730818,1.003391823,0.994092978,1.012778
Warm All,0.009434629,0.005430822,1.009479275,0.998790949,1.020282,0.09833854,0.06219805,1.009882365,0.997645812,1.022269,2.08071E-05,0.000616995,1.000266366,0.984902291,1.015870,0.000843693,0.000773069,1.005499069,0.995644618,1.015451
Warm Female,0.00678698,0.006808896,1.006810064,0.993463004,1.020336,0.14493738,0.07772109,1.014599282,0.999260678,1.030173,-0.000911063,0.000770983,0.988406127,0.969471668,1.007710,0.000660967,0.000970759,1.004305528,0.9919613,1.016803
